app_name,version_name,file_sha256,file_md5,url
闪电wifi极速版,1.0.0,30ebff93707d820fcd562d7267b88e0287668882d290c213b7bea27cfdd5c1c8,2505960354c606a489ada23457bfbd5c,http://storedl1.nearme.com.cn/apk/202201/14/7c19c753eab8baa9ff0ecce83c8df433.apk
快捷连wifi,1.0.1,3c5b3dac82f2e29775a3304f235028babffda84747f40be582baecafbc338a79,64f821dd405b000d69b3c6289f649da1,http://storedl1.nearme.com.cn/apk/202201/14/81e9ed027a871eb8a17657774af5200d.apk
全wifi精灵,1.0.0,d97eb711fb2d1d08306cd3b3a967c256f064507dba6b3db611724004df27a2de,618ad69348b940aee2a0ef432b48b3f5,http://storedl1.nearme.com.cn/apk/202108/26/1f9c36bbd63db5ffaebe12d12f64af22.apk
全全看看大字版,1.0.0,5284960dddfb742aa36bae059bc42ba0cb768bbde4934fd5eabf43a9c6ded20c,3797645e781a0d5a772ae0b5a712c74d,http://storedl1.nearme.com.cn/apk/202112/22/35a36700aef36c5b18efba751a5786ae.apk
全wifi速连,1.0.0,c1b107751a362bd1230e57bb8fd09f92e1623f89b680a6cd52afa186dc8d0caa,c8bf5df29c7f7fd2ea3526befb3666de,http://storedl1.nearme.com.cn/apk/202106/10/9dcc788019bb2df73abcfb1e43bb67fa.apk
弓箭大师,1.0.1,57cc42db8d417ba210e2db412f6836c50f7e35e2d14eaf3584fca4efb8c90efc,1159b1edf5849220e139c1f4f003847f,http://storedl1.nearme.com.cn/apk/202205/06/a88965c80c54320e218ad0c0a7cd982c.apk
全全快速清理大师,1.0.0,e01a6bbfd614b4b5516cd1fad4bc74befad73a580ed47c7a117a36b5437dc8fd,11b95991694bd19a84cb38dca47d69e1,http://storedl1.nearme.com.cn/apk/202201/14/a84f4e31a2ea68d200e214170940b7a0.apk
光速清理,1.0.1,eed6ba7825d0e2bf3508820003a567f41469cbd447db38482d33cd7ae0502691,ce23b52e3dba1ef23ca6e5262cfd351e,http://storedl1.nearme.com.cn/apk/202203/29/53ca4960bd5207fbf0d69dad066d3a23.apk
全全每天清理,1.0.0,511271b05a76d209a010e56c29a3b3572f4f29c059617632720bdbda430a4686,2be60e1b5f513a2e2a5b753b407f5f26,http://storedl1.nearme.com.cn/apk/202204/26/ad65dd26b5dae9278fcc89532a40684e.apk
全全熊猫走路,1.0.0,75401ce0e94aa0d3810a7556c6534e2da4aedaa6148bf7be45901c66cf4f0a94,f357667a3993c5b975046c145283a231,http://storedl1.nearme.com.cn/apk/202203/30/cee15f6be900b41265f4bf0bc75062c0.apk
wifi管家极速版,1.0.0,4689ee9eda390725ddfb17fffa035a97442d6bf4d7d785a30c0573d77909d209,154bcc42369a34842e4ee4f883008d79,http://storedl1.nearme.com.cn/apk/202202/16/bde8bc488d4b82d9dc0026d2584039a4.apk
节奏球球达人,1.0.1,11e8679a4bfb299fdd87345f8494894cb382cb493185e8b6079702352a82db27,fbe3cb5e62b264043066fd6c6a8a1782,http://storedl1.nearme.com.cn/apk/202012/08/a86aaefba6c4b7e941dec6a68bc72efa.apk
怪兽小牙医,1.0.0,ade264c72b7f03fab7e52fab4832c911e07d9dfba32e346532f74547fcaf7ace,8cc1c077d347ccb90c3fb3acc404bd61,http://storedl1.nearme.com.cn/apk/202102/26/5b6e9bc2746c739e38701443ad71bf91.apk
滚动玻璃杯,1.0.0,f57cfc77481c9a241d42d42ece4d7e94d7986b6ea9dd2a74af173c2304c645cf,20676a2100f95f34495a4d4f16bab740,http://storedl1.nearme.com.cn/apk/202012/17/48cc99371a601ff36e74a5801149f166.apk
美味叠叠乐,1.0.0,3d63e868782f9acfd296dabea41d54383d6c32c5b58ecd60f51219c81aad8c53,5a58c49e23abad52f8452ae74b097b06,http://storedl1.nearme.com.cn/apk/202011/12/dd100e63105081821ca427639d4ecfdb.apk
